TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 Payer,Cost,2021,Biologic,Commercial,11.0,74379902.0,Humira (2 Syringe),"12,443","1,729","$66,506,462","$2,133.96",3,EA,$35.00,$20.00,$200.00,2.6%
Top 25 Payer,Cost,2021,Biologic,Commercial,12.0,57894064011.0,Tremfya,"5,782","1,476","$64,127,555","$9,959.24",1,ML,$75.00,$20.00,$187.50,5.3%
Top 25 Payer,Cost,2021,Biologic,Commercial,13.0,2144511.0,Taltz,"9,105","1,305","$56,370,828","$5,587.91",1,ML,$150.00,$30.00,$250.00,11.0%
Top 25 Payer,Cost,2021,Biologic,Commercial,14.0,24591502.0,Dupixent,"16,655","2,962","$53,230,307",$739.47,4,ML,$100.00,$20.00,$250.00,8.6%
Top 25 Payer,Cost,2021,Biologic,Commercial,15.0,2143380.0,Trulicity,"56,723","11,866","$51,962,270",$400.18,2,ML,$30.00,$20.00,$51.61,5.1%
Top 25 Payer,Cost,2021,Biologic,Commercial,16.0,2879959.0,HumaLOG KwikPen,"88,363","23,446","$50,680,623",$19.96,29,ML,$25.00,$15.00,$40.00,4.8%
Top 25 Payer,Cost,2021,Biologic,Commercial,17.0,74024302.0,Humira (2 Syringe),"7,124","1,055","$44,492,199","$2,564.66",2,EA,$121.64,$20.00,$250.00,6.4%
Top 25 Payer,Cost,2021,Biologic,Commercial,18.0,50474071079.0,Cimzia,"7,349","1,041","$39,480,423","$4,552.63",1,EA,$100.00,$20.00,$250.00,6.3%
Top 25 Payer,Cost,2021,Biologic,Commercial,19.0,57894006003.0,Stelara,"3,599","1,123","$37,953,402","$18,286.39",1,ML,$83.33,$22.50,$135.00,3.9%
Top 25 Payer,Cost,2021,Biologic,Commercial,20.0,88222033.0,Lantus,"78,440","22,882","$36,952,165",$14.95,32,ML,$20.00,$13.33,$35.00,3.5%
Top 25 Payer,Cost,2021,Biologic,Commercial,21.0,47783064401.0,Takhzyro,729,91,"$32,962,922","$11,676.56",4,ML,$150.00,$30.00,$250.00,2.2%
Top 25 Payer,Cost,2021,Biologic,Commercial,22.0,57894064001.0,Tremfya,"2,726",635,"$30,233,654","$10,694.61",1,ML,$105.00,$22.50,$171.71,6.1%
Top 25 Payer,Cost,2021,Biologic,Commercial,23.0,2143611.0,Emgality,"44,349","6,826","$28,823,327",$581.02,1,ML,$30.00,$20.00,$55.00,3.2%
Top 25 Payer,Cost,2021,Biologic,Commercial,24.0,2831501.0,HumuLIN N,"146,684","50,152","$28,717,930",$3.33,59,ML,$7.50,$3.75,$11.11,2.2%
Top 25 Payer,Cost,2021,Biologic,Commercial,25.0,3218851.0,Orencia ClickJect,"5,651",899,"$25,518,619","$1,085.07",4,ML,$50.00,$20.00,$250.00,7.2%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,1.0,50242092201.0,Hemlibra,992,129,"$88,254,649","$38,263.45",2,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,2.0,50242092301.0,Hemlibra,"1,080",138,"$50,541,609","$15,471.29",3,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,3.0,50242092101.0,Hemlibra,"1,043",150,"$33,319,484","$15,485.91",2,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,4.0,74055402.0,Humira (2 Pen),"4,143",604,"$31,173,498","$2,872.07",3,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,5.0,944304610.0,Advate,565,148,"$29,047,782",$1.36,"37,839",EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,6.0,50242010040.0,Pulmozyme,"4,901",621,"$22,018,972",$44.84,100,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,7.0,88222033.0,Lantus,"45,591","11,567","$21,471,492",$27.81,17,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,8.0,57894006103.0,Stelara,835,161,"$20,870,162","$23,137.65",1,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,9.0,88221905.0,Lantus SoloStar,"31,490","9,916","$14,067,310",$27.64,16,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,10.0,944304710.0,Advate,247,73,"$13,818,658",$1.33,"42,002",EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,11.0,2751001.0,HumaLOG,"21,504","5,599","$13,723,919",$26.20,24,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,12.0,944462501.0,Adynovate,289,53,"$13,671,656",$1.91,"24,713",EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,13.0,2879959.0,HumaLOG KwikPen,"13,696","4,102","$11,076,182",$33.24,24,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,14.0,78073461.0,Ilaris,466,61,"$10,324,430","$16,733.27",1,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,15.0,50242007401.0,Nutropin AQ NuSpin 10,"1,645",243,"$9,132,546",$630.44,9,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,16.0,944304510.0,Advate,294,102,"$8,513,978",$1.36,"21,220",EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,17.0,74024302.0,Humira (2 Syringe),"1,105",172,"$8,253,334","$2,910.61",3,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,18.0,2771459.0,HumaLOG Junior KwikPen,"8,790","1,909","$7,535,509",$34.11,25,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,19.0,944305402.0,Advate,282,97,"$6,780,393",$1.34,"17,902",EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,20.0,2143380.0,Trulicity,"5,661","1,984","$5,535,634",$413.68,2,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,21.0,2771559.0,Basaglar KwikPen,"17,278","6,799","$5,491,299",$21.81,15,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,22.0,169770521.0,Norditropin FlexPro,836,140,"$4,902,974",$925.18,6,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,23.0,169770821.0,Norditropin FlexPro,731,121,"$4,786,608","$1,414.48",5,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,24.0,2143480.0,Trulicity,"4,233","1,302","$4,295,667",$412.45,2,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medi-Cal,25.0,50242007601.0,Nutropin AQ NuSpin 20,468,81,"$4,171,192","$1,262.47",7,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biologic,Medicare,1.0,88221905.0,Lantus SoloStar,"374,586","88,932","$198,721,785",$28.12,19,ML,$4.00,$1.33,$31.41,15.8%
Top 25 Payer,Cost,2021,Biologic,Medicare,2.0,2143480.0,Trulicity,"150,853","32,384","$189,020,188",$428.49,3,ML,$4.00,$1.07,$47.00,15.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,3.0,74055402.0,Humira (2 Pen),"25,103","3,669","$181,585,292","$2,987.56",2,EA,$2.67,$0.36,$39.77,20.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,4.0,58406003204.0,Enbrel SureClick,"24,022","3,325","$151,068,929","$1,443.00",4,ML,$8.62,$0.67,$58.94,13.3%
Top 25 Payer,Cost,2021,Biologic,Medicare,5.0,2143380.0,Trulicity,"110,263","27,395","$126,392,320",$429.61,3,ML,$4.00,$1.33,$44.03,16.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,6.0,74433902.0,Humira (2 Pen),"17,192","2,388","$112,764,318","$2,697.05",2,EA,$9.20,$0.67,$40.45,14.1%
Top 25 Payer,Cost,2021,Biologic,Medicare,7.0,32301613.0,Creon,"61,250","14,126","$97,415,650",$11.02,144,EA,$3.11,$0.80,$13.33,18.6%
Top 25 Payer,Cost,2021,Biologic,Medicare,8.0,57894006103.0,Stelara,"4,072",888,"$93,735,491","$22,328.61",1,ML,$8.33,$0.33,$56.69,19.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,9.0,169633910.0,NovoLOG FlexPen,"123,124","33,644","$90,146,404",$38.13,19,ML,$2.00,$0.44,$10.00,22.6%
Top 25 Payer,Cost,2021,Biologic,Medicare,10.0,88222033.0,Lantus,"159,169","38,702","$88,816,769",$24.60,23,ML,$6.67,$1.33,$35.00,17.2%
Top 25 Payer,Cost,2021,Biologic,Medicare,11.0,55513071001.0,Prolia,"60,081","38,630","$83,534,363","$1,384.07",1,ML,$0.67,$0.67,$33.40,15.8%
Top 25 Payer,Cost,2021,Biologic,Medicare,12.0,78063941.0,Cosentyx Sensoready (300 MG),"12,570","1,886","$73,996,338","$2,679.09",2,ML,$10.00,$0.67,$40.47,15.6%
Top 25 Payer,Cost,2021,Biologic,Medicare,13.0,2879959.0,HumaLOG KwikPen,"97,865","30,893","$70,845,606",$30.58,24,ML,$8.33,$1.33,$35.00,15.6%
Top 25 Payer,Cost,2021,Biologic,Medicare,14.0,58406002104.0,Enbrel,"10,209","1,381","$61,574,988","$1,400.74",4,ML,$13.85,$0.89,$57.47,11.1%
Top 25 Payer,Cost,2021,Biologic,Medicare,15.0,58160082311.0,Shingrix,"309,911","237,251","$56,566,844",$181.91,1,EA,$40.00,$4.00,$59.46,9.3%
Top 25 Payer,Cost,2021,Biologic,Medicare,16.0,2771559.0,Basaglar KwikPen,"152,489","40,224","$56,453,316",$22.59,16,ML,$2.00,$0.67,$4.00,20.4%
Top 25 Payer,Cost,2021,Biologic,Medicare,17.0,24591401.0,Dupixent,"15,384","2,110","$53,381,108",$810.82,4,ML,$22.80,$1.09,$155.78,10.7%
Top 25 Payer,Cost,2021,Biologic,Medicare,18.0,72511076002.0,Repatha SureClick,"78,364","12,896","$51,044,344",$243.36,3,ML,$45.00,$4.00,$87.50,6.2%
Top 25 Payer,Cost,2021,Biologic,Medicare,19.0,169643810.0,Levemir FlexTouch,"77,169","17,712","$49,293,255",$31.69,20,ML,$4.00,$1.00,$35.00,15.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,20.0,74379902.0,Humira (2 Syringe),"6,973",980,"$44,448,010","$2,642.41",2,EA,$10.00,$0.72,$35.46,13.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,21.0,32122401.0,Creon,"42,126","9,020","$43,243,427",$7.24,142,EA,$4.00,$1.00,$28.35,17.1%
Top 25 Payer,Cost,2021,Biologic,Medicare,22.0,2223680.0,Trulicity,"32,148","9,384","$40,834,541",$428.02,3,ML,$3.07,$0.00,$43.00,31.4%
Top 25 Payer,Cost,2021,Biologic,Medicare,23.0,2751001.0,HumaLOG,"59,834","17,754","$38,317,547",$19.01,34,ML,$13.33,$1.67,$35.00,15.7%
Top 25 Payer,Cost,2021,Biologic,Medicare,24.0,44087000607.0,Serostim,"1,935",211,"$35,715,906",$636.15,29,EA,$0.31,$0.00,$0.80,37.9%
Top 25 Payer,Cost,2021,Biologic,Medicare,25.0,169255013.0,Tresiba FlexTouch,"35,416","8,623","$35,062,275",$69.52,14,ML,$4.00,$1.00,$35.00,14.0%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,1.0,61314032610.0,Zarxio,"7,421","2,254","$11,410,465",$249.66,6,ML,$20.00,$10.00,$30.00,15.2%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,2.0,61314031810.0,Zarxio,"9,586","2,950","$9,731,530",$253.60,4,ML,$20.00,$10.00,$35.00,16.7%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,3.0,67457083306.0,Fulphila,745,218,"$2,296,207","$4,281.17",1,ML,$20.00,$5.00,$91.77,14.2%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,4.0,70114010101.0,Udenyca,174,56,"$890,929","$7,150.32",1,ML,$50.00,$26.25,$192.50,23.2%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,5.0,61314031801.0,Zarxio,662,361,"$743,110",$333.37,3,ML,$20.00,$1.50,$35.00,23.3%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,6.0,61314032601.0,Zarxio,397,240,"$738,767",$301.02,6,ML,$20.00,$5.00,$35.00,21.3%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,7.0,61314086601.0,Ziextenzo,168,52,"$704,858","$5,489.55",1,ML,$45.00,$0.00,$111.28,34.6%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,8.0,69130810.0,Retacrit,772,219,"$285,484",$107.57,3,ML,$35.00,$20.00,$81.90,17.4%
Top 25 Payer,Cost,2021,Biosimilar,Commercial,9.0,69131110.0,Retacrit,152,56,"$105,211",$205.49,3,ML,$30.00,$10.00,$85.40,17.9%
Top 25 Payer,Cost,2021,Biosimilar,Medi-Cal,1.0,67457083306.0,Fulphila,377,94,"$1,594,769","$6,918.74",1,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biosimilar,Medi-Cal,2.0,61314031810.0,Zarxio,137,79,"$506,722",$483.51,8,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biosimilar,Medi-Cal,3.0,61314032610.0,Zarxio,88,51,"$319,272",$518.30,7,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biosimilar,Medi-Cal,4.0,49502039475.0,Insulin Glargine-yfgn,67,54,"$6,043",$11.23,8,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,1.0,61314032610.0,Zarxio,"2,390",870,"$4,861,042",$382.19,5,ML,$20.00,$3.70,$150.00,11.0%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,2.0,61314031810.0,Zarxio,"3,307","1,234","$3,584,494",$356.70,3,ML,$20.00,$5.00,$179.63,7.8%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,3.0,63459010310.0,Truxima,378,123,"$3,253,327",$86.11,100,ML,$294.06,$0.40,$550.53,17.9%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,4.0,69130810.0,Retacrit,"6,874","1,827","$2,735,837",$114.12,3,ML,$2.78,$0.43,$96.11,23.4%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,5.0,69130904.0,Retacrit,"1,390",359,"$1,779,061",$453.15,3,ML,$47.16,$0.65,$140.45,21.4%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,6.0,61314031801.0,Zarxio,"1,187",488,"$1,746,347",$527.60,3,ML,$20.00,$1.30,$203.69,19.5%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,7.0,67457083306.0,Fulphila,423,140,"$1,705,332","$5,962.70",1,ML,$5.50,$0.65,$263.73,17.9%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,8.0,61314032601.0,Zarxio,705,281,"$1,665,541",$533.14,4,ML,$15.00,$0.65,$234.88,21.7%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,9.0,69080901.0,Inflectra,306,79,"$1,456,896",$969.97,5,EA,$1.30,$0.33,$150.29,19.0%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,10.0,70114010101.0,Udenyca,273,87,"$1,271,031","$6,976.02",1,ML,$20.00,$0.26,$215.21,20.7%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,11.0,69131110.0,Retacrit,"1,429",473,"$943,949",$225.59,3,ML,$4.00,$0.65,$100.00,21.8%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,12.0,55513020601.0,Mvasi,197,51,"$934,879",$181.18,26,ML,$0.93,$0.00,$302.71,39.2%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,13.0,69130710.0,Retacrit,790,184,"$124,675",$45.21,3,ML,$1.30,$0.00,$46.50,39.7%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,14.0,69130801.0,Retacrit,172,75,"$64,269",$113.35,3,ML,$45.00,$1.30,$100.00,14.7%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,15.0,69130610.0,Retacrit,339,78,"$63,091",$34.69,5,ML,$0.76,$0.00,$13.20,46.2%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,16.0,49502039475.0,Insulin Glargine-yfgn,409,313,"$29,588",$10.95,7,ML,$0.00,$0.00,$0.00,80.8%
Top 25 Payer,Cost,2021,Biosimilar,Medicare,17.0,49502039380.0,Insulin Glargine-yfgn,104,82,"$11,465",$10.82,10,ML,$0.00,$0.00,$0.00,87.8%
Top 25 Payer,Cost,2021,Brand,Commercial,1.0,61958250101.0,Biktarvy,"93,160","14,048","$430,935,127",$103.19,45,EA,$25.00,$15.00,$50.00,1.3%
Top 25 Payer,Cost,2021,Brand,Commercial,2.0,61958190101.0,Genvoya,"31,665","5,225","$168,283,852",$102.42,52,EA,$25.00,$15.00,$50.00,0.7%
Top 25 Payer,Cost,2021,Brand,Commercial,3.0,61958200201.0,Descovy,"75,915","11,989","$167,058,807",$61.34,36,EA,$23.08,$0.00,$55.00,28.1%
Top 25 Payer,Cost,2021,Brand,Commercial,4.0,55513013760.0,Otezla,"44,467","7,315","$160,218,404",$58.90,61,EA,$51.55,$20.00,$250.00,3.6%
Top 25 Payer,Cost,2021,Brand,Commercial,5.0,49702023113.0,Triumeq,"26,923","4,003","$123,400,880",$98.75,46,EA,$25.00,$16.67,$50.00,0.7%
Top 25 Payer,Cost,2021,Brand,Commercial,6.0,597015330.0,Jardiance,"154,195","34,571","$105,382,565",$16.28,42,EA,$25.00,$15.00,$40.00,3.6%
Top 25 Payer,Cost,2021,Brand,Commercial,7.0,61958210101.0,Odefsey,"21,395","3,302","$101,051,681",$94.44,50,EA,$23.33,$15.00,$45.21,0.8%
Top 25 Payer,Cost,2021,Brand,Commercial,8.0,310135030.0,Tagrisso,"6,336",786,"$95,159,847",$504.39,30,EA,$40.00,$20.00,$144.62,13.5%
Top 25 Payer,Cost,2021,Brand,Commercial,9.0,3089421.0,Eliquis,"152,374","29,452","$93,597,645",$7.89,78,EA,$26.67,$15.00,$50.00,6.7%
Top 25 Payer,Cost,2021,Brand,Commercial,10.0,169413212.0,Ozempic (0.25 or 0.5 MG/DOSE),"70,078","17,254","$69,523,077",$524.19,2,ML,$30.00,$16.67,$45.00,6.8%
Top 25 Payer,Cost,2021,Brand,Commercial,11.0,6027731.0,Januvia,"114,780","20,336","$69,394,491",$15.38,39,EA,$27.69,$15.00,$40.00,2.7%
Top 25 Payer,Cost,2021,Brand,Commercial,12.0,69068803.0,Ibrance,"5,400",857,"$68,857,213",$571.77,22,EA,$35.00,$20.00,$150.00,10.9%
Top 25 Payer,Cost,2021,Brand,Commercial,13.0,65649030302.0,Xifaxan,"27,069","13,313","$59,891,971",$43.44,51,EA,$40.00,$20.00,$80.00,6.1%
Top 25 Payer,Cost,2021,Brand,Commercial,14.0,59572041000.0,Revlimid,"3,443",540,"$58,469,260",$758.53,22,EA,$29.06,$15.00,$100.00,13.1%
Top 25 Payer,Cost,2021,Brand,Commercial,15.0,3085222.0,Sprycel,"4,142",503,"$57,496,812",$478.21,29,EA,$60.83,$20.00,$200.00,8.7%
Top 25 Payer,Cost,2021,Brand,Commercial,16.0,69050130.0,Xeljanz XR,"11,872","1,662","$57,257,352",$152.92,32,EA,$150.00,$25.00,$250.00,5.5%
Top 25 Payer,Cost,2021,Brand,Commercial,17.0,597015230.0,Jardiance,"85,241","18,425","$56,802,894",$17.17,39,EA,$28.00,$16.36,$40.00,4.8%
Top 25 Payer,Cost,2021,Brand,Commercial,18.0,597015390.0,Jardiance,"66,050","26,614","$53,872,861",$12.46,65,EA,$20.00,$10.00,$29.22,3.1%
Top 25 Payer,Cost,2021,Brand,Commercial,19.0,49702022813.0,Tivicay,"19,517","4,279","$51,944,920",$60.71,44,EA,$26.25,$16.67,$63.75,1.9%
Top 25 Payer,Cost,2021,Brand,Commercial,20.0,68727010001.0,Xyrem,"3,368",399,"$50,569,742",$32.47,462,ML,$100.00,$30.00,$250.00,2.5%
Top 25 Payer,Cost,2021,Brand,Commercial,21.0,57962042028.0,Imbruvica,"3,468",402,"$48,200,068",$485.09,29,EA,$50.00,$20.00,$200.00,7.5%
Top 25 Payer,Cost,2021,Brand,Commercial,22.0,169406013.0,Victoza,"37,637","7,941","$47,007,604",$97.29,13,ML,$25.00,$13.33,$40.00,4.5%
Top 25 Payer,Cost,2021,Brand,Commercial,23.0,78060715.0,Gilenya,"5,210",576,"$46,155,266",$284.36,31,EA,$77.35,$40.00,$250.00,3.3%
Top 25 Payer,Cost,2021,Brand,Commercial,24.0,74204202.0,Skyrizi (150 MG Dose),"2,661","1,002","$45,330,662","$16,464.00",1,EA,$116.67,$25.00,$250.00,5.2%
Top 25 Payer,Cost,2021,Brand,Commercial,25.0,310621030.0,Farxiga,"72,139","12,367","$45,293,278",$16.44,38,EA,$30.00,$16.67,$50.00,4.7%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,1.0,61958250101.0,Biktarvy,"108,147","16,007","$419,404,370",$109.01,36,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,2.0,50458056401.0,Invega Sustenna,"48,205","7,263","$139,712,047","$1,931.43",2,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,3.0,61958200201.0,Descovy,"43,127","7,932","$96,543,219",$63.09,35,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,4.0,61958190101.0,Genvoya,"23,029","3,219","$94,162,294",$108.90,38,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,5.0,49702023113.0,Triumeq,"24,891","3,439","$91,733,206",$102.63,36,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,6.0,63402030430.0,Latuda,"45,536","12,100","$66,781,329",$43.15,34,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,7.0,61958070101.0,Truvada,"27,232","8,253","$65,959,165",$59.38,41,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,8.0,59676080030.0,Symtuza,"15,405","2,106","$65,513,096",$132.25,32,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,9.0,63402030830.0,Latuda,"37,168","6,680","$59,543,882",$43.17,37,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,10.0,49702022813.0,Tivicay,"26,599","4,515","$58,457,404",$62.61,35,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,11.0,59148007280.0,Abilify Maintena,"24,306","3,788","$56,414,887","$2,318.66",1,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,12.0,12496120803.0,Suboxone,"134,815","21,581","$54,137,751",$8.90,45,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,13.0,63402030230.0,Latuda,"36,105","11,065","$53,771,672",$43.22,34,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,14.0,61958210101.0,Odefsey,"13,312","1,754","$48,734,174",$98.71,37,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,15.0,50458056301.0,Invega Sustenna,"23,218","4,999","$45,048,011","$1,933.54",1,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,16.0,63402030630.0,Latuda,"28,587","6,325","$41,733,681",$43.60,33,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,17.0,50458060901.0,Invega Trinza,"4,323","1,415","$37,664,684","$3,312.83",3,ML,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,18.0,61958230101.0,Vemlidy,"23,513","3,155","$36,756,106",$40.07,39,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,19.0,59148001971.0,Abilify Maintena,"12,986","2,021","$30,358,088","$2,335.96",1,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,20.0,63402031230.0,Latuda,"14,035","2,357","$28,486,530",$64.11,32,EA,$0.00,$0.00,$0.00,100.0%
Top 25 Payer,Cost,2021,Brand,Medi-Cal,21.0,65757030001.0,Vivitrol,"18,834","5,075","$26,553,681","$1,394.11",1,EA,$0.00,$0.00,$0.00,100.0%
