TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,24.0,2771559.0,Basaglar KwikPen,"181,542","47,749","$66,729,294",$21.85,17,ML,$2.00,$0.53,$9.20,18.2%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,25.0,2223680.0,Trulicity,"55,628","14,575","$63,553,030",$416.85,3,ML,$15.00,$0.55,$40.00,23.0%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,1.0,61314032610.0,Zarxio,"9,811","3,108","$16,271,507",$278.51,6,ML,$20.00,$10.00,$35.00,14.1%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,2.0,61314031810.0,Zarxio,"12,893","4,163","$13,316,024",$275.00,4,ML,$20.00,$9.20,$40.00,14.1%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,3.0,67457083306.0,Fulphila,"1,168",356,"$4,001,539","$4,865.98",1,ML,$20.00,$0.65,$118.75,15.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,4.0,63459010310.0,Truxima,379,124,"$3,273,356",$86.01,100,ML,$260.37,$0.42,$550.02,17.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,5.0,69130810.0,Retacrit,"7,646","2,044","$3,021,321",$113.47,3,ML,$11.84,$0.43,$95.00,22.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,6.0,61314031801.0,Zarxio,"1,849",847,"$2,489,457",$449.43,3,ML,$20.00,$1.30,$100.00,21.1%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,7.0,61314032601.0,Zarxio,"1,102",520,"$2,404,308",$431.02,5,ML,$20.00,$0.87,$100.00,21.5%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,8.0,70114010101.0,Udenyca,447,142,"$2,161,960","$7,046.81",1,ML,$40.83,$0.28,$207.47,21.8%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,9.0,69130904.0,Retacrit,"1,556",407,"$1,981,996",$450.45,3,ML,$46.61,$0.43,$141.34,22.4%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,10.0,69080901.0,Inflectra,408,101,"$1,977,896",$954.58,5,EA,$2.00,$0.33,$150.00,18.8%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,11.0,69131110.0,Retacrit,"1,581",529,"$1,049,160",$223.40,3,ML,$16.61,$0.65,$100.00,21.4%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,12.0,55513020601.0,Mvasi,204,54,"$990,284",$180.71,27,ML,$0.79,$0.00,$305.01,40.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,13.0,61314086601.0,Ziextenzo,227,76,"$983,080","$5,656.39",1,ML,$40.00,$0.00,$153.57,30.3%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,14.0,69029201.0,Nivestym,128,58,"$229,041",$372.55,5,ML,$39.91,$0.00,$172.87,29.3%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,15.0,69029101.0,Nivestym,211,69,"$210,594",$355.13,3,ML,$35.00,$3.70,$176.58,21.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,16.0,69130710.0,Retacrit,868,208,"$138,215",$45.02,4,ML,$1.30,$0.00,$43.86,38.0%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,17.0,69130610.0,Retacrit,371,89,"$70,313",$34.53,5,ML,$1.30,$0.00,$47.00,42.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,18.0,69130801.0,Retacrit,172,75,"$64,269",$113.35,3,ML,$45.00,$1.30,$100.00,14.7%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,19.0,49502039475.0,Insulin Glargine-yfgn,419,323,"$30,028",$10.93,7,ML,$0.00,$0.00,$0.00,79.6%
Top 25 W/O Medi-Cal,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,20.0,49502039380.0,Insulin Glargine-yfgn,107,84,"$11,754",$10.78,10,ML,$0.00,$0.00,$0.00,86.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,1.0,3089421.0,Eliquis,"983,049","205,818","$760,996,269",$8.40,92,EA,$35.00,$4.00,$75.00,7.4%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,2.0,61958250101.0,Biktarvy,"149,568","21,301","$654,611,837",$106.97,41,EA,$20.00,$5.00,$50.00,8.2%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,3.0,6027731.0,Januvia,"368,888","81,608","$312,269,574",$16.43,52,EA,$13.33,$1.33,$40.00,7.1%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,4.0,597015330.0,Jardiance,"328,244","81,439","$274,380,654",$17.47,48,EA,$20.00,$2.29,$41.11,7.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,5.0,310135030.0,Tagrisso,"17,139","2,398","$273,172,284",$525.17,30,EA,$25.00,$0.87,$173.63,14.3%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,6.0,3089321.0,Eliquis,"376,229","78,351","$266,040,123",$8.46,84,EA,$26.61,$2.84,$68.03,11.0%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,7.0,469012599.0,Xtandi,"22,408","3,450","$258,269,022",$100.50,115,EA,$53.93,$4.00,$727.80,10.3%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,8.0,50458057930.0,Xarelto,"303,927","69,831","$250,439,977",$16.26,51,EA,$31.58,$4.00,$75.18,6.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,9.0,61958200201.0,Descovy,"103,940","15,695","$229,888,050",$62.40,35,EA,$17.46,$0.00,$55.00,26.1%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,10.0,55513013760.0,Otezla,"60,093","9,906","$225,817,568",$60.05,63,EA,$35.00,$20.00,$223.98,5.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,11.0,61958190101.0,Genvoya,"45,561","7,110","$225,667,729",$105.01,47,EA,$25.00,$10.00,$50.00,4.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,12.0,57962042028.0,Imbruvica,"15,370","1,946","$220,019,786",$503.61,28,EA,$200.00,$17.37,$889.47,6.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,13.0,23916360.0,Restasis,"247,224","73,504","$215,841,183",$10.46,83,EA,$7.00,$1.33,$42.50,10.8%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,14.0,49702023113.0,Triumeq,"49,956","6,902","$208,611,133",$102.31,41,EA,$20.00,$2.67,$47.19,8.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,15.0,597015230.0,Jardiance,"231,076","59,262","$193,184,943",$18.20,46,EA,$17.78,$1.45,$43.43,9.3%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,16.0,59572041028.0,Revlimid,"9,188","1,418","$173,915,696",$819.95,23,EA,$143.50,$8.40,"$1,026.18",14.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,17.0,59572041000.0,Revlimid,"9,889","1,677","$168,285,080",$813.36,21,EA,$30.00,$9.24,$372.35,11.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,18.0,169413212.0,Ozempic (0.25 or 0.5 MG/DOSE),"146,835","39,489","$161,300,004",$543.49,2,ML,$25.00,$4.00,$47.00,10.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,19.0,52937000120.0,Vascepa,"365,054","70,681","$158,568,331",$2.96,147,EA,$2.67,$0.92,$20.00,14.2%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,20.0,597036055.0,Pradaxa,"253,681","74,467","$158,156,500",$4.28,146,EA,$26.67,$11.67,$38.46,2.4%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,21.0,65649030302.0,Xifaxan,"62,526","23,415","$151,543,705",$45.29,54,EA,$30.00,$6.00,$100.00,9.9%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,22.0,61958210101.0,Odefsey,"32,778","4,753","$144,706,913",$96.78,46,EA,$20.00,$10.00,$45.30,4.5%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,23.0,69068803.0,Ibrance,"11,065","1,904","$143,850,056",$601.05,22,EA,$30.00,$6.93,$200.00,12.0%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,24.0,597014030.0,Tradjenta,"174,608","36,784","$136,734,032",$16.58,47,EA,$2.91,$1.33,$27.14,12.4%
Top 25 W/O Medi-Cal,Cost,2021,Brand,All Payers W/O Medi-Cal,25.0,310621030.0,Farxiga,"171,338","37,879","$136,540,806",$17.53,45,EA,$20.00,$1.33,$47.00,10.7%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,1.0,59267100001.0,Pfizer-BioNTech COVID-19 Vacc,"1,743,067","1,099,328","$63,976,830",$104.13,0,ML,$0.00,$0.00,$0.00,99.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,2.0,59267100002.0,Pfizer-BioNTech COVID-19 Vacc,"1,572,459","1,034,084","$56,588,326",$99.21,0,ML,$0.00,$0.00,$0.00,99.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,3.0,378932132.0,Wixela Inhub,"285,403","97,672","$55,204,164",$1.89,102,EA,$10.00,$4.67,$15.00,4.0%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,4.0,93770456.0,Emtricitabine-Tenofovir DF,"54,544","23,979","$41,238,122",$10.55,72,EA,$0.00,$0.00,$0.00,85.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,5.0,378932232.0,Wixela Inhub,"175,504","53,893","$39,409,311",$2.12,106,EA,$7.78,$4.17,$11.00,3.6%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,6.0,80777027399.0,Moderna COVID-19 Vaccine,"1,087,333","698,920","$36,841,266",$67.63,1,ML,$0.00,$0.00,$0.00,99.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,7.0,93760756.0,Emtricitabine-Tenofovir DF,"17,257","11,653","$35,815,011",$40.33,51,EA,$0.00,$0.00,$0.00,85.1%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,8.0,72205003092.0,Abiraterone Acetate,"9,538","1,891","$25,154,050",$23.59,112,EA,$57.47,$3.70,$208.22,11.1%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,9.0,66993001968.0,Albuterol Sulfate HFA,"466,144","202,662","$23,293,878",$2.38,21,GM,$5.00,$1.30,$15.00,13.5%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,10.0,80777027398.0,Moderna COVID-19 Vaccine,"579,433","483,188","$22,599,299",$91.17,0,ML,$0.00,$0.00,$0.00,99.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,11.0,68382071119.0,Mesalamine,"37,313","8,772","$21,249,253",$3.92,145,EA,$15.00,$5.00,$55.00,3.5%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,12.0,65862035430.0,Emtricitabine-Tenofovir DF,"19,809","5,859","$19,502,112",$27.70,36,EA,$0.00,$0.00,$0.00,87.1%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,13.0,93317431.0,Albuterol Sulfate HFA,"482,832","241,925","$18,870,446",$3.80,10,GM,$6.67,$2.00,$15.00,10.8%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,14.0,65162083366.0,Diclofenac Sodium,"585,531","362,496","$18,119,920",$0.18,169,GM,$10.00,$5.00,$12.00,5.0%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,15.0,310737020.0,Budesonide-Formoterol Fumarate,"51,412","18,805","$17,692,415",$26.59,13,GM,$10.00,$2.50,$47.00,11.3%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,16.0,378039991.0,Dimethyl Fumarate,"4,449",888,"$16,880,274",$59.34,64,EA,$15.00,$5.00,$234.26,5.7%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,17.0,378696112.0,Glatiramer Acetate,"5,125",777,"$16,648,262",$256.77,13,ML,$25.00,$4.31,$250.00,11.7%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,18.0,591352530.0,Lidocaine,"99,425","34,366","$15,366,926",$3.68,42,EA,$5.00,$0.65,$11.33,18.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,19.0,69097052444.0,Diclofenac Sodium,"419,196","196,832","$14,738,743",$0.23,155,GM,$5.00,$1.30,$11.85,12.6%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,20.0,115169449.0,EPINEPHrine,"102,356","83,285","$14,278,630",$64.06,2,EA,$10.00,$5.00,$15.00,3.2%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,21.0,378932032.0,Wixela Inhub,"83,807","30,595","$13,912,154",$1.65,100,EA,$10.00,$5.00,$15.00,4.1%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,22.0,65162046935.0,EluRyng,"67,632","26,209","$13,851,486",$67.49,3,EA,$0.00,$0.00,$0.00,95.8%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,23.0,27241003203.0,Omeprazole-Sodium Bicarbonate,"8,411","1,739","$13,679,774",$42.67,38,EA,$0.22,$0.00,$1.04,39.9%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,24.0,72626270101.0,Sofosbuvir-Velpatasvir,"1,619",714,"$13,229,966",$284.90,29,EA,$4.00,$1.21,$250.00,21.7%
Top 25 W/O Medi-Cal,Cost,2021,Generic,All Payers W/O Medi-Cal,25.0,93598627.0,EPINEPHrine,"35,562","29,745","$13,145,683",$173.90,2,EA,$10.00,$5.00,$25.00,7.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,1.0,3089421.0,Eliquis,"983,049","205,818","$760,996,269",$8.40,92,EA,$35.00,$4.00,$75.00,7.4%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,2.0,61958250101.0,Biktarvy,"149,568","21,301","$654,611,837",$106.97,41,EA,$20.00,$5.00,$50.00,8.2%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,3.0,74055402.0,Humira (2 Pen),"94,761","12,981","$627,281,620","$2,762.32",2,EA,$60.00,$10.00,$250.00,10.4%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,4.0,57894006103.0,Stelara,"22,138","4,267","$466,350,391","$20,176.10",1,ML,$50.00,$15.00,$142.69,10.1%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,5.0,58406003204.0,Enbrel SureClick,"69,553","9,639","$397,296,007","$1,331.54",4,ML,$50.00,$11.24,$250.00,7.3%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,6.0,74433902.0,Humira (2 Pen),"66,571","8,999","$384,222,243","$2,334.45",2,EA,$30.00,$15.00,$200.00,5.9%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,7.0,6027731.0,Januvia,"368,888","81,608","$312,269,574",$16.43,52,EA,$13.33,$1.33,$40.00,7.1%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,8.0,78063941.0,Cosentyx Sensoready (300 MG),"56,687","7,992","$290,481,941","$2,302.30",2,ML,$40.00,$17.48,$219.00,6.4%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,9.0,2143480.0,Trulicity,"247,104","48,384","$281,390,577",$418.26,3,ML,$20.00,$1.82,$46.00,12.3%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,10.0,597015330.0,Jardiance,"328,244","81,439","$274,380,654",$17.47,48,EA,$20.00,$2.29,$41.11,7.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,11.0,310135030.0,Tagrisso,"17,139","2,398","$273,172,284",$525.17,30,EA,$25.00,$0.87,$173.63,14.3%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,12.0,88221905.0,Lantus SoloStar,"521,241","121,801","$269,028,672",$26.71,19,ML,$13.33,$1.50,$33.49,12.6%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,13.0,3089321.0,Eliquis,"376,229","78,351","$266,040,123",$8.46,84,EA,$26.61,$2.84,$68.03,11.0%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,14.0,469012599.0,Xtandi,"22,408","3,450","$258,269,022",$100.50,115,EA,$53.93,$4.00,$727.80,10.3%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,15.0,50458057930.0,Xarelto,"303,927","69,831","$250,439,977",$16.26,51,EA,$31.58,$4.00,$75.18,6.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,16.0,61958200201.0,Descovy,"103,940","15,695","$229,888,050",$62.40,35,EA,$17.46,$0.00,$55.00,26.1%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,17.0,55513013760.0,Otezla,"60,093","9,906","$225,817,568",$60.05,63,EA,$35.00,$20.00,$223.98,5.9%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,18.0,61958190101.0,Genvoya,"45,561","7,110","$225,667,729",$105.01,47,EA,$25.00,$10.00,$50.00,4.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,19.0,57962042028.0,Imbruvica,"15,370","1,946","$220,019,786",$503.61,28,EA,$200.00,$17.37,$889.47,6.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,20.0,23916360.0,Restasis,"247,224","73,504","$215,841,183",$10.46,83,EA,$7.00,$1.33,$42.50,10.8%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,21.0,49702023113.0,Triumeq,"49,956","6,902","$208,611,133",$102.31,41,EA,$20.00,$2.67,$47.19,8.5%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,22.0,24591401.0,Dupixent,"62,242","7,832","$200,758,374",$770.86,4,ML,$68.40,$20.00,$250.00,7.2%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,23.0,597015230.0,Jardiance,"231,076","59,262","$193,184,943",$18.20,46,EA,$17.78,$1.45,$43.43,9.3%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,24.0,2143380.0,Trulicity,"166,986","39,082","$178,354,591",$420.60,3,ML,$16.67,$2.00,$45.00,13.4%
Top 25 W/O Medi-Cal,Cost,2021,All,All Payers W/O Medi-Cal,25.0,59572041028.0,Revlimid,"9,188","1,418","$173,915,696",$819.95,23,EA,$143.50,$8.40,"$1,026.18",14.9%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,1.0,74055402.0,Humira (2 Pen),"110,393","14,964","$778,228,606","$2,926.05",2,EA,$66.71,$12.50,$250.00,10.0%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,2.0,57894006103.0,Stelara,"29,235","5,246","$648,080,122","$21,116.29",1,ML,$70.00,$20.00,$186.85,8.7%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,3.0,58406003204.0,Enbrel SureClick,"71,789","9,872","$438,059,635","$1,432.43",4,ML,$50.00,$10.00,$250.00,7.7%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,4.0,74433902.0,Humira (2 Pen),"60,120","8,137","$366,434,079","$2,441.91",2,EA,$30.00,$13.75,$182.48,5.8%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,5.0,78063941.0,Cosentyx Sensoready (300 MG),"67,337","9,149","$343,916,562","$2,392.71",2,ML,$40.00,$19.08,$249.36,5.3%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,6.0,2143480.0,Trulicity,"249,640","51,060","$302,177,680",$441.42,3,ML,$18.00,$1.33,$47.00,14.3%
Top 25 W/O Medi-Cal,Cost,2022,Biologic,All Payers W/O Medi-Cal,7.0,88221905.0,Lantus SoloStar,"497,030","123,227","$260,666,854",$26.25,20,ML,$12.50,$1.33,$32.75,13.6%
